feature,importance
accident_freq_historical,0.2738332357975793
road_type_highway,0.17973457154387304
cluster_id,0.12219320599589543
month,0.076842387368678
moving_avg_30day,0.07624762780744361
rolling_30day_accidents,0.06098682461363041
day_of_week,0.046263490074958356
hour,0.03899358667865523
accidents_last_7days,0.01776957367668116
rolling_7day_accidents,0.017015528366644946
moving_avg_7day,0.01609521785302775
is_weekend,0.014995547566326716
humidity,0.01358808078924693
temperature_f,0.012600644566631364
pressure_in,0.009822896273111982
wind_speed_mph,0.007535645930308515
is_holiday,0.005058480210500907
moving_avg_3day,0.004995915592048194
is_rush_hour,0.002332234620534564
visibility_mi,0.0019754392585283856
accidents_last_24h,0.0009372921726116648
precipitation_in,0.00012552407898568162
is_severe_weather,5.7049164097906726e-05
